,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38
2024-03-12 04:30:00+01:00,70.37211,88.516045,56.20002,10.931834,68.982315,101.70358,121.40663,157.72147,186.70062,176.54288,197.82254,170.5841,81.71725,83.27095,79.40816,65.35035,52.350418,66.318344,70.16228,71.82631,107.68361,107.84574,89.29671,78.6911,88.436264
2024-03-12 04:45:00+01:00,69.63151,88.516045,56.20002,7.508944,65.40149,101.70358,121.40663,157.72147,186.70062,176.54288,197.82254,170.5841,81.71725,83.27095,79.40816,65.35035,51.09144,66.318344,70.16228,72.53216,107.68361,107.84574,89.29671,78.6911,88.86892
2024-03-12 05:00:00+01:00,90.33792,87.3865,54.921677,11.242605,54.550056,102.08166,121.468056,159.96208,185.79054,182.49974,201.37642,178.34488,101.12073,86.82443,73.82664,51.357132,43.854057,53.80825,51.8956,72.76789,98.49596,106.838264,103.84043,95.97627,99.0997
2024-03-12 05:15:00+01:00,89.62332,87.3865,54.921677,11.242605,54.550056,100.75842,121.468056,159.96208,185.79054,182.49974,201.37642,175.01581,100.29722,86.82443,74.90814,51.357132,43.854057,53.80825,51.8956,72.76789,98.49596,105.605934,103.84043,95.97627,99.0997
2024-03-12 05:30:00+01:00,87.33748,87.3865,51.06136,11.801748,54.18878,100.75842,121.468056,159.96208,185.79054,182.49974,201.37642,175.01581,100.29722,85.88721,75.36548,51.942383,42.769142,53.80825,51.09466,75.12748,102.74762,106.254906,103.84043,95.97627,99.0997
2024-03-12 05:45:00+01:00,87.33748,87.74023,27.9242,-13.020538,55.258095,100.399055,121.70237,159.96208,185.79054,182.49974,201.06227,175.01581,100.29722,85.53006,75.028275,52.924957,43.369377,53.80825,51.547215,79.67289,104.113625,109.19848,106.09883,92.826294,99.0997
2024-03-12 06:00:00+01:00,83.76651,67.45755,27.91876,15.122463,53.911144,82.57199,115.74394,156.75601,183.06013,178.39616,207.77534,171.52821,111.14964,70.85,76.988106,51.202248,38.216465,51.239254,42.895405,82.78654,120.50731,135.08934,126.55595,93.20091,91.97699
2024-03-12 06:15:00+01:00,84.96656,67.45755,25.617476,14.035557,51.48639,75.097305,116.71178,156.75601,182.68602,175.91904,204.95424,170.05292,112.05032,70.85,76.988106,50.032494,34.98543,49.19078,43.367386,83.17867,120.67529,139.64716,121.101265,92.85837,93.02421
2024-03-12 06:30:00+01:00,84.54511,67.45755,25.617476,14.035557,51.48639,74.55366,116.71178,158.70134,182.68602,179.82144,206.48476,170.05292,112.14536,70.85,77.11509,50.032494,33.57591,46.66651,45.141827,84.84696,126.67916,144.57988,121.101265,92.85837,89.52735
2024-03-12 06:45:00+01:00,81.23292,61.68116,23.145058,14.89209,51.48639,74.55366,116.71178,158.70134,182.68602,179.82144,206.35303,170.13564,113.37829,70.85,77.11509,50.032494,33.57591,46.66651,45.141827,85.62745,126.67916,146.36887,122.542404,93.486084,88.499626
2024-03-12 07:00:00+01:00,73.42147,51.390182,22.486778,15.075174,49.696938,76.23445,117.15272,158.70134,177.642,182.63428,202.39621,170.9411,100.27752,60.87637,65.17967,47.210087,33.08321,49.541985,53.25081,95.15957,133.25458,152.06548,120.843346,90.41771,86.46876
2024-03-12 07:15:00+01:00,72.74949,50.947887,26.311668,12.692749,48.376324,75.69016,117.15272,158.76855,177.58308,181.19115,205.30684,172.4458,100.27752,60.87637,66.512665,45.64864,34.289974,49.541985,53.25081,95.28326,132.73048,154.1687,119.979935,89.25209,86.46876
2024-03-12 07:30:00+01:00,70.89924,50.947887,26.311668,12.692749,47.987667,75.038475,116.33624,154.59587,176.11714,188.92148,207.69368,172.4458,98.935585,60.87637,66.512665,45.90669,34.940662,50.62865,54.88344,94.5482,130.06613,152.39526,117.36559,88.54509,84.71029
2024-03-12 07:45:00+01:00,70.03542,50.947887,26.680695,13.618212,48.360947,71.862404,114.82022,154.59587,176.11714,188.92148,207.69368,172.4458,98.935585,60.87637,66.512665,49.517597,36.746174,53.037407,54.88344,94.978226,130.60913,152.39526,117.36559,88.54509,84.71029
2024-03-12 08:00:00+01:00,60.684723,40.125854,29.765768,6.787503,45.454327,70.15929,114.2476,153.87276,177.93195,191.95001,203.44801,163.2279,81.92022,61.240692,53.11652,43.824795,39.418617,62.312725,72.12014,97.2224,123.41916,153.0878,103.5944,78.48981,70.82163
2024-03-12 08:15:00+01:00,59.215042,40.11576,28.692108,6.787503,48.000458,70.15929,115.20901,155.10101,177.93195,191.95001,204.58919,160.22256,81.92022,61.240692,56.544445,45.535374,40.340195,61.92519,73.476234,94.97068,123.41916,148.49776,103.13073,78.48981,70.82163
2024-03-12 08:30:00+01:00,59.215042,40.11576,28.692108,5.699761,48.000458,70.15929,115.20901,155.10101,177.93195,195.3469,203.1198,160.77194,81.92022,63.946262,55.6703,45.535374,41.103134,62.54766,74.21435,94.97068,123.33638,148.49776,103.55236,72.94075,70.52039
2024-03-12 08:45:00+01:00,60.684723,40.11576,28.692108,5.699761,48.676243,70.15929,117.62586,155.10101,178.59048,196.1116,203.06242,163.77728,81.92022,63.946262,55.6703,45.535374,41.103134,63.40104,74.21435,98.42365,123.33638,152.45787,103.65737,72.94075,70.52039
2024-03-12 09:00:00+01:00,38.78141,36.243484,23.618113,5.158314,41.231304,71.70552,116.67292,156.44601,180.04092,203.85643,201.47136,158.52274,81.72552,56.794643,52.240658,50.93292,54.530457,70.55816,88.71411,113.60708,123.73435,128.22069,95.10418,68.394516,57.891468
2024-03-12 09:15:00+01:00,40.835815,37.128883,23.618113,5.158314,41.231304,70.86026,117.03918,156.44601,181.24696,203.47163,201.47136,159.28938,83.335724,56.794643,52.240658,52.139904,54.97412,70.55816,88.71411,113.60708,121.96567,128.9918,93.22698,68.394516,57.891468
2024-03-12 09:30:00+01:00,40.835815,37.128883,22.427813,9.337779,39.163265,70.86026,117.6118,157.16913,184.34998,203.99202,201.47136,159.28938,83.335724,56.794643,52.240658,52.432888,54.97412,70.55816,88.71411,113.60708,131.03899,128.9918,97.39013,68.067444,60.83617
2024-03-12 09:45:00+01:00,41.98951,37.128883,21.001347,9.337779,39.163265,70.86026,117.21349,157.16913,184.34998,203.99202,201.47136,159.28938,80.957825,57.52041,52.240658,52.432888,53.086807,68.1494,88.71411,113.17704,131.03899,128.9918,97.39013,68.067444,60.83617
2024-03-12 10:00:00+01:00,28.976871,19.779411,16.897749,5.3056417,40.275314,73.2323,121.017456,163.00032,190.42862,205.55516,199.05923,159.28938,83.644394,58.39844,52.8901,59.715588,56.701393,85.50483,97.03899,110.32691,119.9982,110.394905,88.37449,64.17247,51.876545
2024-03-12 10:15:00+01:00,28.976871,21.279013,15.36008,5.074841,40.448597,74.92039,120.8661,165.10866,188.54877,205.55516,199.05923,158.92618,85.47926,58.39844,50.141716,61.277035,57.974785,84.536736,98.577034,110.706856,119.9982,110.394905,88.37449,66.13202,51.876545
2024-03-12 10:30:00+01:00,28.976871,21.048788,4.191479,-0.27741566,38.032127,74.92039,121.819954,165.10866,188.54877,207.1264,199.05923,157.81697,85.47926,58.39844,50.449905,61.277035,57.974785,84.536736,98.577034,114.93172,119.54141,110.22285,88.07219,66.13202,52.059284
2024-03-12 10:45:00+01:00,27.629362,18.313637,1.0056307,-4.307326,37.463055,74.895615,121.819954,164.49182,190.13347,207.1264,199.90544,158.51132,85.47926,60.262226,50.449905,60.835026,57.974785,84.536736,98.577034,114.93172,119.54141,111.52023,88.07219,66.13202,52.059284
2024-03-12 11:00:00+01:00,5.624065,12.347855,-4.6087885,-10.420619,35.28654,83.9905,139.79794,190.42596,195.0264,207.1264,196.95702,152.01595,84.97551,57.93294,56.069736,64.653404,72.38055,90.11654,96.01256,101.54571,114.84401,103.86461,82.32167,65.19588,41.18605
2024-03-12 11:15:00+01:00,5.7626934,11.449663,-7.997021,-10.420619,35.28654,83.39044,145.3682,189.36024,196.01915,205.88208,196.54076,151.46513,84.97551,57.93294,56.069736,64.653404,72.38055,90.11654,96.01256,101.18953,114.71324,105.47981,80.549126,65.19588,41.18605
2024-03-12 11:30:00+01:00,5.7626934,11.5564375,-5.524602,-11.781424,35.28654,83.39044,143.92538,189.36024,196.01915,206.26688,196.54076,149.88109,83.742584,57.93294,56.069736,64.653404,72.38055,90.11654,95.81638,100.88835,114.71324,105.47981,80.549126,65.19588,41.18605
