fold,RMSE,SMAPE,R2,horizon
0,27.912775772613276,38.94089317283008,-0.32213186727399257,14
1,15.109396735735496,14.588002098476727,0.4184108868143649,14
2,15.000201518938265,14.570584013344574,0.5719003884866494,14
3,22.714825995561004,34.46796696880266,0.11719568514302514,14
4,18.78945705295026,34.11809672905298,0.565108523874797,14
5,16.03371702051027,21.2842775755568,0.3206706540833034,14
6,8.471984004458104,9.68844351869398,0.4923934642121862,14
0,25.353717313083756,31.561157540014413,-0.19583176467406238,24
1,14.888768318131891,13.781015447030606,0.4268376303442202,24
2,18.1026345700349,18.61034315622412,0.43039124622594305,24
3,20.348818066862968,31.58774416297015,0.31172080220435483,24
4,21.42594845953565,35.481222149932854,0.39316063736096696,24
5,15.678786171919343,19.34598274584041,0.3285756603796931,24
6,9.191017146753461,10.79591984403718,0.38765478795985275,24
0,39.097225986978096,52.20491881750203,-2.8765348286509993,38
1,13.863486810807956,11.632794011341744,0.5371042760059966,38
2,21.72772414544921,24.425024261599166,0.21590789561016888,38
3,21.889001770416723,29.94581621390065,0.039354020732851436,38
4,23.11457508253575,40.04679286259481,0.339844416065086,38
5,16.58524098888162,20.197276841307925,-0.06977212126139487,38
6,11.859093806335842,17.14928398471453,0.03606932258944717,38
