RMSE,RMSE_std,coverage,interval_width,window
23.709859567771495,21.635778109506163,0.8284023668639053,42.917095,0
15.575944041329429,15.568589515000635,0.7988165680473372,36.99709,1
32.35272399587316,27.446405357416037,0.6390532544378699,66.94769,2
29.044799371414474,25.690128577279502,0.727810650887574,64.94618,3
45.386148217101166,39.27929054980935,0.40236686390532544,39.62538,4
42.59450280735086,38.243358081978606,0.31952662721893493,36.50946,5
