fold,RMSE,SMAPE,R2,horizon
0,26.647617503951007,33.2579513150157,-0.3210022875401979,24
1,14.863705877585438,13.344245797493013,0.42876562831514897,24
2,17.848526466343188,18.662766790715494,0.4462702964153805,24
3,20.660535318385094,30.332630651057674,0.2904722166434266,24
4,20.21278826940698,36.15358118283244,0.45993493480174996,24
5,15.94603580250604,19.755831019373783,0.3054913231973121,24
6,9.248617064489215,11.172716399725546,0.37995562807347405,24
