fold,RMSE,SMAPE,R2,horizon
0,54.90427556536965,44.638298597456306,-6.644764869287925,38
1,20.79574417586397,18.892106338895847,-0.041566862282552686,38
2,61.86776162749951,58.669375605091,-5.357222474266315,38
3,30.295107856093022,34.33237396422839,-0.8401637138887781,38
4,45.79787689627694,58.570531576578375,-1.5915832453905367,38
5,21.90498749060673,24.04530951307885,-0.8660948834989382,38
6,19.849813262019147,24.289662738856276,-1.7005712770726125,38
